Breakfast Crunchwrap - Bacon,660
Breakfast Crunchwrap - Sausage,700
Breakfast Crunchwrap - Steak,650
Breakfast Quesadilla - Bacon,510
Breakfast Quesadilla - Sausage,500
Breakfast Quesadilla - Steak,500
Breakfast Soft Taco - Bacon,230
Breakfast Soft Taco - Egg & Cheese,170
Breakfast Soft Taco - Sausage,230
Cinnabon® Delights™ (2 Pack),160
Cinnabon® Delights™ (4 Pack),310
Cinnabon® Delights™ (12 Pack - Serves 4),930
Grande Scrambler Burrito - Bacon,650
Grande Scrambler Burrito - Sausage,640
Grande Scrambler Burrito - Steak,640
Grilled Breakfast Burrito - Bacon,350
Grilled Breakfast Burrito - Fiesta Potato,340
Grilled Breakfast Burrito - Sausage,340
Hashbrown,160
Iced Regular Coffee,10
Mini Skillet Bowl,180
Mtn Dew® Kickstart™ Orange Citrus,70
Nestle® Coffee-Mate™ Sweetened Original Creamer (1 portion creamer),25
Rainforest Coffee,10
Rainforest Coffee with Nestle® Coffee-Mate™ Sweetened Original Creamer (1 portion creamer),30
Sausage Flatbread Quesadilla,330
Tropicana® Orange Juice,140
Breakfast Soft Taco - Bacon,230
Breakfast Soft Taco - Egg & Cheese,170
Breakfast Soft Taco - Sausage,230
Cinnabon® Delights™ (2 Pack),160
Grilled Breakfast Burrito - Bacon,350
Grilled Breakfast Burrito - Fiesta Potato,340
Grilled Breakfast Burrito - Sausage,340
Hashbrown,160
Iced Regular Coffee,10
Mini Skillet Bowl,180
Mtn Dew® Kickstart™ Orange Citrus,70
Rainforest Coffee,10
Rainforest Coffee with Nestle® Coffee-Mate™ Sweetened Original Creamer (1 portion creamer),30
Sausage Flatbread Quesadilla,330
7-Layer Burrito,440
Bean Burrito,380
Beefy 5-Layer Burrito,500
Beefy Fritos® Burrito,440
Beefy Nacho Loaded Griller,370
Black Bean Burrito,390
Burrito Supreme® - Beef,400
Burrito Supreme® - Chicken,380
Burrito Supreme® - Steak,390
Cheesy Bean & Rice Burrito,430
Cheesy Potato Griller,340
Chili Cheese Burrito (regional),370
Chipotle Chicken Loaded Griller,340
Quesarito - Beef,650
Quesarito - Chicken,640
Quesarito - Steak,630
Shredded Chicken Burrito,420
XXL Grilled Stuft Burrito - Beef,870
XXL Grilled Stuft Burrito - Chicken,830
XXL Grilled Stuft Burrito - Steak,840
Beefy Fritos® Burrito,440
Beefy Mini Quesadilla,210
Cheesy Bean & Rice Burrito,430
Cheesy Roll Up,180
Cinnabon® Delights™ (2 Pack),160
Cinnamon Twists,170
Shredded Chicken Mini Quesadilla,200
Spicy Potato Soft Taco,230
Spicy Tostada,210
Triple Layer Nachos,320
Mtn Dew® Baja Blast Freeze™ (16 oz),180
Mtn Dew® Baja Blast Freeze™ (20 oz),230
Strawberry Skittles Freeze™ (16 oz),160
Strawberry Skittles Freeze™ (20 oz),210
Watermelon Freeze™ (16 oz),220
Watermelon Freeze™ (20 oz),270
Watermelon Freeze™ without Seeds (16 oz),190
Watermelon Freeze™ without Seeds (20 oz),250
Fresco Bean Burrito,350
Fresco Burrito Supreme® - Chicken,340
Fresco Burrito Supreme® - Steak,340
Fresco Crunchy Taco - Beef,140
Fresco Soft Taco - Beef,160
Fresco Soft Taco - Shredded Chicken,150
Fresco Soft Taco - Steak,150
Grande Nachos Box - Beef,1130
Grande Nachos Box - Grilled Chicken,1090
Grande Nachos Box - Shredded Chicken,1110
Grande Nachos Box - Steak,1100
Nacho Fries,320
Nacho Fries Bellgrande,710
Nacho Fries Supreme,410
Power Menu Bowl - Chicken,500
Power Menu Bowl - Steak,510
Power Menu Bowl - Veggie,480
Power Menu Burrito - Chicken,450
Power Menu Burrito - Steak,460
Power Menu Burrito - Veggie,430
Black Beans,80
Black Beans & Rice,190
Cheesy Fiesta Potatoes,230
Chips and Guacamole,230
Chips and Nacho Cheese Sauce,220
Chips and Pico de Gallo,170
Chips and Salsa,180
Pintos 'n Cheese,190
Seasoned Rice,120
Beefy Mini Quesadilla,210
Chalupa Supreme® - Beef,350
Chalupa Supreme® - Chicken,330
Chalupa Supreme® - Steak,330
Cheesy Gordita Crunch,500
Cheesy Gordita Crunch Supreme®,520
Cheesy Roll Up,180
Crunchwrap Supreme®,530
Double Tostada (regional),270
Express Fiesta Taco Salad (regional),580
Fiesta Taco Salad - Beef,760
Gordita Supreme® - Beef,280
Gordita Supreme® - Chicken,260
Gordita Supreme® - Steak,270
Mexican Pizza,540
Meximelt®,250
Nachos BellGrande®,750
Nachos BellGrande® - Chicken,730
Nachos BellGrande® - Steak,740
Nachos Supreme®,440
Quesadilla - Cheese,460
Quesadilla - Chicken,510
Quesadilla - Steak,510
Shredded Chicken Mini Quesadilla,200
Spicy Tostada,210
Triple Layer Nachos,320
Cinnabon® Delights™ (2 Pack),160
Cinnabon® Delights™ (4 Pack),310
Cinnabon® Delights™ (12 Pack - Serves 4),930
Cinnamon Twists,170
Lowfat Milk - CA (Regional),100
Lowfat Milk - Federal (Regional),80
Water,0
Cool Ranch® Doritos® Double Decker® Taco,320
Cool Ranch® Doritos® Locos Taco,170
Cool Ranch® Doritos® Locos Taco Supreme®,190
Crunchy Taco,170
Crunchy Taco Supreme®,190
Double Decker® Taco,320
Double Decker® Taco Supreme®,340
Fiery Doritos® Double Decker® Taco,320
Fiery Doritos® Locos Taco,170
Fiery Doritos® Locos Taco Supreme®,190
Grilled Steak Soft Taco,200
Nacho Cheese Doritos® Double Decker® Taco,320
Nacho Cheese Doritos® Locos Taco,160
Nacho Cheese Doritos® Locos Taco Supreme®,190
Soft Taco - Beef,180
Soft Taco - Chicken,170
Soft Taco Supreme® - Beef,210
Spicy Potato Soft Taco,230
